author	aid	normdate	birth	death	raw	hasbirth	hasdeath	hasdates	estimate	place-birth	place-death	country-birth	continent-birth	first-name	preposition-name	second-name	gender	viafid	vf_bi	vf_de	vf_bi_esti	vf_de_esti	birth_diff	death_diff	vf_cand_n	auname_viaf	redo	match_type	vf_validation
Etchegoyen, Félix	156n	19.5	XIX	XX	Argentina. Siglos XIX - XX Poeta.	0	0	0	0	Argentina		Argentina	América	Félix		Etchegoyen	M												medium
Fábrega, Octavio	655n	19.5	XIX	XX	Panamá. Siglo XIX - XX Poeta.	0	0	0	0	Panamá		Panamá	América	Octavio		Fábrega	M	16776542								Octavio Fábrega			high
Falconi Villagómez, J. A.	415n	19.5	XIX	XX	Ecuador. Siglo XIX- XX Poeta hallado en Internet.	0	0	0	0	Ecuador		Ecuador	América	J. A.		Falconi Villagómez	M												medium
Fernández Deligne, Gastón	239n	19.5	1861	1913	Santo Domingo (República Dominicana). 1861 - 1913 Poeta hallado en Internet.	1	1	1	0	Santo Domingo (República Dominicana)		República Dominicana	América	Gastón		Fernández Deligne	M												medium
Fernández Vanga, S.	652n	19.5	XIX	XX	Puerto Rico. Siglos XIX - XX Poeta.	0	0	0	0	Puerto Rico		Puerto Rico	América	S.		Fernández Vanga	M												medium
Figueroa, Rudolfo	401n	19.5	XIX	XX	Chapas (México). Siglo XIX - XX Poeta hallado en Internet.	0	0	0	0	Chapas (México)		México	América	Rudolfo		Figueroa	M												medium
Flores Roa, Julio	580n	19.5	1867	1923	 Chiquinquirá (Colombia). 1867 - Usiacurí (Colombia). 1923 Poeta romántico colombiano. En su época fue muy popular.	1	1	1	0	Chiquinquirá (Colombia)	Usiacurí (Colombia)	Colombia	América	Julio		Flores Roa	M												medium
Gabriel y Ramírez, Alejandro de	669n	19.5	XIX	XX	España. Siglo XIX - XX Nieto de Ruiz de Apodaca. Director de la Real Academia Sevillana de Buenas Letras.	0	0	0	0	España		España	Europa	Alejandro	de	Gabriel y Ramírez	M												medium
García, Armando D.	224n	19.5	1895	1918	Cuba. 1895 - 1918 Poeta.	1	1	1	0	Cuba		Cuba	América	Armando D.		García	M												medium
Gay, Luz	187n	19.5	XIX	XX	Cuba. Siglo XIX - XX Poeta. Acabó sus días en un manicomio.	0	0	0	0	Cuba		Cuba	América	Luz		Gay	F												medium
Geada, Juan J.	479n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	Juan J.		Geada	M												medium
Gollury, Ramón B. (Roger de Lauria)	124n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	Ramón B. (Roger de Lauria)		Gollury	M												medium
González del Castillo, Carmen	543n	19.5	1833	1908	Esposa del poeta canario Rafael M. Martín Fernández Neda (1833-1908).	1	1	1	0					Carmen		González del Castillo	F												medium
Guitarte, Luis	110n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	Luis		Guitarte	M												medium
Gurruchaga, E. de	072n	19.5	XIX	XX	España. Siglo XIX - XX Poeta.	0	0	0	0	España		España	Europa	E.	de	Gurruchaga	M												medium
Gutiérrez, Federico A.	492n	19.5	XIX	XX	Argentina. Siglos XIX - XX Poeta.	0	0	0	0	Argentina		Argentina	América	Federico A.		Gutiérrez	M												medium
Hine, Luis	604n	19.5	XIX	XX	Costa Rica. Siglo XIX - XX Poeta.	0	0	0	0	Costa Rica		Costa Rica	América	Luis		Hine	M												medium
