poem_id	author_id	author	incipit	title
007t_0153_02	007t	Hilario, Zoilo J.	Periódico: sé como siempre de las fúlgidas estrellas	YO CANTO EN TUS FIESTAS... – II
007t_0154	007t	Hilario, Zoilo J.	España, inmortal España, floresta de los claveles,	¡ESPAÑA! MI MUSA SE ARRODILLA A TUS PIES...
007t_0155_01	007t	Hilario, Zoilo J.	¡Oh, qué adorables eran aquellas manecitas	SAMPAGUITAS – I
007t_0155_02	007t	Hilario, Zoilo J.	Yo os amo, sampaguitas, sobre todas las flores,	SAMPAGUITAS – II
007t_0155_03	007t	Hilario, Zoilo J.	Triunfáis en la gloria de las frescas mañanas	SAMPAGUITAS – III
007t_0155_04	007t	Hilario, Zoilo J.	Blancas flores de amor, tan tímidas y buenas,	SAMPAGUITAS – IV
007t_0156	007t	Hilario, Zoilo J.	Tú, sobre todos mis sueños, tú, sobre todas mis flores	ROMÁNTICA
007t_0157	007t	Hilario, Zoilo J.	Cuando una guerra que tina de púrpura las campiñas	ENCARGO
007t_0158	007t	Hilario, Zoilo J.	Abriste tu ventana de oro - rosa	PRELUDIO
008g_0016	008g	López de Ayala, Pedro	Déjame penetrar por este oído,	Déjame penetrar por este oído
008n_0023	008n	Della Costa, Pablo	¿Amarnos? Sí, sin duda nos amamos No obstante	¿Amarnos?
008n_0024	008n	Della Costa, Pablo	Vuelves, cuando más libre y sosegado	Vuelves, cuando más libre y sosegado
008n_0025	008n	Della Costa, Pablo	Como cediendo al paso de un racimo	Como cediendo al paso de un racimo
008t_0159	008t	Jocson, Remigio S.	Silencio. Oíd al Poeta que va a pulsar su lira:	VERGELES LÍRICOS
008t_0160	008t	Jocson, Remigio S.	Para ahuyentar los miedos del camino	LA CANCIÓN DEL CREPÚSCULO
008t_0161	008t	Jocson, Remigio S.	Un bardo de tu talla apolonida,	CANCION CÍGNEA
008t_0162	008t	Jocson, Remigio S.	Canto a la madre España, la grande, la gloriosa	CANTO A ESPAÑA
008t_0163	008t	Jocson, Remigio S.	Mi patria Filipinas, es un nido de ensueños,	CANTO A FILIPINAS
