author	aid	normdate	birth	death	raw	hasbirth	hasdeath	hasdates	estimate	place-birth	place-death	country-birth	continent-birth	first-name	preposition-name	second-name	gender	viafid	vf_bi	vf_de	vf_bi_esti	vf_de_esti	birth_diff	death_diff	vf_cand_n	auname_viaf	redo	match_type	vf_validation
Vargas y Valderrama, Mariana de	423g	16.5	XVI	XVII	España. Siglo XVI - XVII	0	0	0	0	España		España	Europa	Mariana	de	Vargas y Valderrama	F												medium
Vegas, Damián de	293g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta.	0	0	0	0	España		España	Europa	Damián	de	Vegas	M	315644267	fl. 1590	fl. 1590	False	False	90	10	1	Damian Vegas, fl. 1590		exact	high
Verdugo, Petri	166g	16.5	XVI	XVII	España. Siglos XVI - XVII Autor recogido por Juan de Castellanos 1522-1607 en su obra Varones ilustres de Indias	0	0	0	0	España		España	Europa	Petri		Verdugo	F												medium
Vergara, Juan de	204g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta.	0	0	0	0	España		España	Europa	Juan	de	Vergara	M	202265033	1545	1620	False	False	45	20	7	Juan Vergara, 1545 1620		exact	high
Villarroel y Coruña, Gaspar de	256g	16.5	XVI	XVII	Siglos XVI-XVII Varón ilustre del Nuevo Reino de las Indias.	0	0	0	0	Quito		Ecuador	América	Gaspar	de	Villarroel y Coruña	M												medium
Villarroel, Cristóbal de	226g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta.	0	0	0	0	España		España	Europa	Cristóbal	de	Villarroel	M												medium
Villegas, Esteban Manuel de	165g	16.5	1589	1669	Matute. Logroño. 1589 - Nájera. Logroño. 1669 Poeta. Estudió Leyes y Humanidades en Madrid y Salamanca. Tesorero de Rentas Reales.	1	1	1	0	Matute		España	Europa	Esteban Manuel	de	Villegas	M	68916315	1585	1669	False	False	4	0	8	Esteban Manuel Villegas, 1585 1669		exact	high
Virués, Cristóbal de	217g	16.5	1550	1609	Valencia. 1550 - 1609 Poeta y dramaturgo. Hijo del médico Alonso de Virués, amigo de Luis Vives. (Por su estilo y forma se suponen son de Vinués.)	1	1	1	0	Valencia		España	Europa	Cristóbal	de	Virués	M	152703	1550	1609	False	False	0	0	8	Cristobal Virues, 1550 1609		exact	high
Vázquez de Leca, Mateo	053g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta.	0	0	0	0	España		España	Europa	Mateo		Vázquez de Leca	M	195014397	1542	1591	False	False	42	9	4	Mateo Vazquez Leca 1542 1591	1	exact	high
Vélez de Guevara, Luis	130g	16.5	1579	1644	Écija. (Sevilla) 1579 - Madrid. 1644 Dramaturgo, poeta.	1	1	1	0	Écija		España	Europa	Luis		Vélez de Guevara	M	56619774	1579	1644	False	False	0	0	1	Luis Velez Guevara, 1579 1644		exact	high
Vélez de Santander, Luis	150g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta y amigo de Lope de Vega.	0	0	0	0	España		España	Europa	Luis		Vélez de Santander	M												medium
